Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/12/2023 11:19:34,35-44,Computing or Tech,Sales,National Sales Director,Sales Director for a small SaaS company in a niche industry,125000,20000,USD,,"Commission highly variable, put a conservative estimate for this year",United States,Arizona,Phoenix,Fully remote,21-30 years,2-4 years,College degree,Man,White
4/12/2023 11:19:40,45-54,"Accounting, Banking & Finance",Computing or Tech,Senior Mgr Application Development,Head of Software Quality Assurance team  ,145000,8000,USD,,Bonus is % based on company performance ,United States,Arizona,Phoenix,Hybrid,21-30 years,21-30 years,College degree,Woman,White
4/12/2023 11:19:49,45-54,Business or Consulting,Computing or Tech,Client Relationship Manager,,105000,25000,USD,,,United States,Illinois,Chicago ,Fully remote,21-30 years,8-10 years,Some college,Woman,White
4/12/2023 11:20:11,25-34,Government & Public Administration,Government & Public Administration,Principal Analyst,Third lowest rank of the company.,84000,,Other,SGD,,Singapore,,Singapore,Hybrid,5-7 years,1 year or less,Master's degree,Woman,Asian or Asian American
4/12/2023 11:20:13,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Operations Analyst,,71000,150,USD,,,United States,North Carolina,Raleigh,Hybrid,5-7 years,2-4 years,College degree,Woman,White
4/12/2023 11:20:20,25-34,Government & Public Administration,Government & Public Administration,Operational Team Leader,,26000,,GBP,,,United Kingdom,,Glasgow,Fully remote,5-7 years,2-4 years,Some college,Man,White
4/12/2023 11:20:38,45-54,Government & Public Administration,Hospitality & Events,Operations Worker,Set-up & take-down for convention center,55000,,USD,,,United States,Wisconsin,Madison,On-site,31-40 years,8-10 years,Some college,Man,White
4/12/2023 11:20:48,25-34,Government & Public Administration,Social Work,Government Project Officer,,94000,0,USD,,,United States,Maryland,Baltimore,Fully remote,8-10 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:21:11,35-44,Computing or Tech,Computing or Tech,Head of Product,I run product development for an early-stage tech startup ,135000,,USD,,"I own 7.5% equity in the company, vesting over 4 years",United States,District of Columbia,"Washington, DC",Fully remote,11-20 years,2-4 years,"Professional degree (MD, JD, etc.)",Man,White
4/12/2023 11:22:22,25-34,Law,Law,Associate attorney,,85000,,USD,,,United States,Minnesota,Golden valley ,Hybrid,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 11:22:42,25-34,Government & Public Administration,Government & Public Administration,GIS,,45760,,USD,,,United States,California,San Jose,On-site,8-10 years,1 year or less,College degree,Man,White
4/12/2023 11:22:42,35-44,Science,Science,"Director, Preclinical pipeline",Technical project lead.,93410,16000,GBP,,,United Kingdom,,South East,Hybrid,11-20 years,2-4 years,PhD,Woman,White
4/12/2023 11:22:46,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",children's services supervisor ,children's librarian with department supervisory duties ,52000,,USD,,,United States,Massachusetts,Springfield ,On-site,8-10 years,5-7 years,Master's degree,Non-binary,White
4/12/2023 11:23:07,35-44,Military,Military,Naval Warfare Officer,,130000,0,CAD,,,Canada,,Halifax,On-site,11-20 years,11-20 years,College degree,Man,White
4/12/2023 11:23:12,35-44,Engineering or Manufacturing,Customer Service/Account Management,Customer Service Specialist,"This is not a call center or consumer report position, instead I have a number of long term accounts I provide service and support for",72000,1500,USD,,,United States,Illinois,Naperville,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:23:16,45-54,Manufacturing,"Accounting, Banking & Finance",Accounts Receivable Co-ordinator,,60000,,CAD,,,Canada,,Hamilton,On-site,21-30 years,11-20 years,Some college,Woman,White
4/12/2023 11:23:26,35-44,Nonprofits,Nonprofits,Executive Director ,,113000,0,USD,,,United States,Oregon,Portland ,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/12/2023 11:23:27,35-44,Government & Public Administration,Law,Attorney,,124000,2000,USD,,,United States,Illinois,Chicago,Hybrid,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White
4/12/2023 11:23:32,35-44,Sales,Property or Construction,Regional Sales Manager,,125000,25000,USD,,,United States,Pennsylvania,Philadelphia ,Fully remote,11-20 years,11-20 years,Master's degree,Man,White
4/12/2023 11:23:38,45-54,Health care,"Accounting, Banking & Finance",Billing Specialist ,,32200,0,USD,,,United States,Missouri,Springfield,Fully remote,21-30 years,8-10 years,College degree,Woman,White
4/12/2023 11:24:00,35-44,Survey research,Health care,Field supervisor,,51600,600,USD,,,United States,Illinois,Chicago,Fully remote,5-7 years,2-4 years,College degree,Man,White
4/12/2023 11:24:06,45-54,Computing or Tech,Computing or Tech,Salesforce System Architect,,175000,1000,USD,,"Minimal benefits. 2 weeks PTO, $600/mo stipend to buy own health insurance. ",United States,Pennsylvania,Philadelphia,Fully remote,21-30 years,11-20 years,Some college,Man,White
4/12/2023 11:24:24,45-54,giant health insurer and service provider ,Computing or Tech,Application Architect ,,120000,5000,USD,,,United States,Minnesota,Minny,Fully remote,21-30 years,21-30 years,College degree,Man,White
4/12/2023 11:24:26,35-44,Computing or Tech,Computing or Tech,Software Development Engineer III,I also happen to be the lead software dev at the company,108000,7000,USD,,,United States,Wisconsin,Madison,Hybrid,11-20 years,11-20 years,Some college,Woman,White
4/12/2023 11:24:36,25-34,Law,Administration,Business Intake Coordinator,Manage incoming client files ,62500,0,USD,,,United States,Georgia,Atlanta,Fully remote,5-7 years,2-4 years,College degree,Woman,White
4/12/2023 11:24:36,25-34,Computing or Tech,Computing or Tech,COO,,92000,,CAD,,,Canada,,Winnipeg,Fully remote,8-10 years,5-7 years,Master's degree,Man,White
4/12/2023 11:24:47,35-44,Computing or Tech,Biotechnology & Pharma,Client Services Lead,Technical Project Manager,90000,,GBP,,,United Kingdom,,Nottingham,Fully remote,21-30 years,8-10 years,College degree,Woman,White
4/12/2023 11:24:51,35-44,Education (Higher Education),Education (Higher Education),Assistant Teaching Professor,"Full-Time, Non-Tenure Track",54868,0,USD,,Salary on a 9 month contract. Possible to earn more by taking on extra courses.,United States,New York,Syracuse,On-site,11-20 years,8-10 years,PhD,"Man, Non-binary",White
4/12/2023 11:25:13,35-44,Education (Higher Education),Education (Higher Education),Associate Instructional Professor,Non-tenure track faculty member,48000,0,USD,,,United States,Kansas,Pittsburg,On-site,11-20 years,8-10 years,Master's degree,Woman,White
4/12/2023 11:25:20,35-44,Computing or Tech,Computing or Tech,Senior Software Engineer ,,184000,60000,USD,,,United States,Virginia,DC Metro Area,Hybrid,11-20 years,5-7 years,College degree,Woman,White
4/12/2023 11:25:38,25-34,Media & Digital,Media & Digital,Producer,,79000,0,USD,,,United States,New York,NYC,Hybrid,8-10 years,8-10 years,College degree,Woman,Another option not listed here or prefer not to answer
4/12/2023 11:26:03,35-44,Engineering or Manufacturing,Engineering or Manufacturing,Marine Engineer,,235000,0,USD,,,United States,Texas,Houston,On-site,11-20 years,11-20 years,College degree,Man,White
4/12/2023 11:26:18,25-34,Computing or Tech,Computing or Tech,Salesforce Developer,,45000,5000,EUR,,,Spain,,Barcelona,Hybrid,8-10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/12/2023 11:26:20,25-34,Government & Public Administration,Government & Public Administration,Trade Mark Examiner,,76000,0,AUD/NZD,,,Australia,,Canberra,Fully remote,5-7 years,1 year or less,Some college,Woman,White
4/12/2023 11:26:32,55-64,Education (Primary/Secondary),Education (Primary/Secondary),Teacher - special education ,,48000,,USD,,,United States,North Carolina,Raleigh ,On-site,11-20 years,1 year or less,Master's degree,Woman,White
4/12/2023 11:26:47,25-34,Law,Law,Senior Attorney,,92000,0,USD,,Standard state government pay for title level +4k location pay for working in Manhattan. Additional 2% raises annually through union.,United States,New York,New York,On-site,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 11:26:50,35-44,Computing or Tech,Computing or Tech,Senior Software Engineer,,525000,,USD,,,United States,California,Los Gatos,Fully remote,11-20 years,11-20 years,Master's degree,Man,White
4/12/2023 11:26:58,25-34,Agriculture or Forestry,Recruitment or HR,HR Manager,HR Business Partner,135000,13500,USD,,,United States,Illinois,Chicago,Hybrid,5-7 years,5-7 years,Master's degree,Man,White
4/12/2023 11:27:49,35-44,Nonprofits,Administration,Executive Administrator ,C Suite Executive Assistant,45760,0,USD,,,United States,Georgia,Atlanta,Fully remote,11-20 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:27:53,35-44,Utilities & Telecommunications,"Accounting, Banking & Finance",Senior Tax Analyst,,83485,10322,USD,,,United States,Wisconsin,Greenville,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:27:57,45-54,Manufacturing,Human Resources,Vice President,,120000,80000,USD,,Bonus is based on company net profitability per year,United States,Ohio,Cleveland,On-site,31-40 years,31-40 years,Master's degree,Woman,White
4/12/2023 11:28:01,35-44,Biotechnology & Pharma,Computing or Tech,Product Owner,One of several POs responsible for internal CRM systems,133120,35328,USD,,"Additional comp includes bonus target of 15% (19,968) and stock options (15,360)",United States,Massachusetts,"Boston, MA",Hybrid,21-30 years,2-4 years,College degree,Woman,White
4/12/2023 11:28:05,25-34,Health care,Nutrition counseling & education,Eating Disorder Dietitian,,65478,0,USD,,,United States,Washington,Lacey,Fully remote,5-7 years,2-4 years,Master's degree,Woman,White
4/12/2023 11:29:40,35-44,Law,Recruitment or HR,Senior Coordinator of Lawyer Talent Development,,100000,4000,USD,,,United States,District of Columbia,Washington,Hybrid,11-20 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:29:52,25-34,Social Work,Health care,Oncology Social Worker ,,75000,,USD,,,United States,New York,Albany ,Hybrid,8-10 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:30:24,35-44,Science,Science,Principal Research Scientist,,54000,7000,GBP,,,United Kingdom,,South East England,Hybrid,5-7 years,5-7 years,PhD,Woman,White
4/12/2023 11:30:45,25-34,Social Work,Health care,Social work Manager,,81000,0,USD,,,United States,California,San Pablo,Hybrid,8-10 years,5-7 years,Master's degree,Woman,White
4/12/2023 11:30:59,45-54,Computing or Tech,Computing or Tech,Senior Manager,,175000,31000,USD,,Plus stock RSUs,United States,Virginia,Fairfax,Hybrid,21-30 years,21-30 years,PhD,Man,White
4/12/2023 11:31:28,35-44,Media & Digital,Content creation,Puzzles sub-editor,,21576,400,GBP,,,United Kingdom,,Bristol,Fully remote,21-30 years,2-4 years,College degree,Woman,White
4/12/2023 11:31:38,35-44,Education (Higher Education),Science,Assistant Scientist,Research Faculty,106000,0,USD,,,United States,Maryland,Baltimore,Hybrid,8-10 years,5-7 years,PhD,Woman,White
4/12/2023 11:31:46,65 or over,"Accounting, Banking & Finance",Administration,Executive Assistant,Office Manager,90000,20000,USD,,,United States,Wisconsin,Milwaukee,On-site,41 years or more,31-40 years,Some college,Woman,White
4/12/2023 11:32:13,25-34,FMCG - food and drink products,"Marketing, Advertising & PR",Copywriter,Independent contractor working as copywriter for one brand,40000,,EUR,,"Technically classified as freelance so it varies year on year depending how much I work, 40000 is an average estimate ",Spain,,Madrid,Fully remote,5-7 years,5-7 years,College degree,Woman,White
4/12/2023 11:32:32,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Library Technician and Programs Assistant,"My public library is very small and I wear a few different hats. My ""library technician"" title covers general circulation duties as well as tasks that technically fall under the umbrella of technical service, like cataloging new items, or more management, like training new volunteers. As a ""programs assistant"", I typically man informational tables at outreach events and and part of a team that makes sure our promotional materials make it to local bulletin boards and event calendars. I'm also usually the go-to person for managing the waiting room/muting/hand raising details in our virtual programs.",45760,,USD,,,United States,,Small town in upstate NY,On-site,5-7 years,2-4 years,College degree,Woman,White
4/12/2023 11:32:45,35-44,Property or Construction,Property or Construction,Project Manager/Landsacpe Architect,trail and recreation-specific,65000,,USD,,,United States,Pennsylvania,Carlisle,Fully remote,11-20 years,5-7 years,College degree,Woman,White
4/12/2023 11:32:57,35-44,Mining,"Accounting, Banking & Finance",Staff Accountant,,62400,,USD,,,United States,Idaho,Kellogg,On-site,11-20 years,11-20 years,College degree,Woman,White
4/12/2023 11:33:25,35-44,Health care,Science,Research Program Manager,,85000,1000,USD,,,United States,Texas,Houston,On-site,11-20 years,11-20 years,PhD,Woman,White
4/12/2023 11:33:29,25-34,Health care,Research,Senior Project Manager,,122000,0,USD,,,United States,New York,New York,Hybrid,8-10 years,8-10 years,College degree,Woman,White
4/12/2023 11:33:29,25-34,Nonprofits,Nonprofits,Vice President,I handle Membership and Programming (and MANY other duties on a 2.5 person team with 225+ members),60790,1000,USD,,"Currently have commission on renewing members, will not be present next year.",United States,Kansas,De Soto (KC Metro),Other/it's complicated,5-7 years,2-4 years,College degree,Woman,White
4/12/2023 11:33:42,25-34,,Recruitment or HR,Human Resources Buisness Partner,,83000,8300,USD,,,United States,Illinois,Chicago,Hybrid,5-7 years,2-4 years,College degree,Woman,Black or African American
4/12/2023 11:33:53,35-44,Computing or Tech,Engineering or Manufacturing,Software Engineering Manager,,227000,211000,USD,,RSU grabts account for half of my total compensation,United States,California,San Francisco,Hybrid,11-20 years,8-10 years,College degree,Man,White
4/12/2023 11:34:01,45-54,Education (Higher Education),Science,Associate Professor Medicine,,275000,5000,USD,,,United States,Pennsylvania,No answer,Hybrid,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
4/12/2023 11:34:01,25-34,Education (Higher Education),Nonprofits,Assistant Director of Prospect Development,,86000,0,USD,,,United States,California,San Fancisco,Hybrid,5-7 years,5-7 years,College degree,Man,Asian or Asian American
4/12/2023 11:34:09,35-44,Property or Construction,"Accounting, Banking & Finance",Accounting Manager,,57000,500,USD,,,United States,Illinois,Highland Park,Hybrid,11-20 years,11-20 years,College degree,Man,White
4/12/2023 11:34:10,45-54,Recruitment or HR,Recruitment or HR,Partner,,400000,,USD,,,United States,California,San Francisco,Fully remote,21-30 years,11-20 years,College degree,Woman,White
